Chords;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Am7;F;G;C;Am7;F;G;F;G;F;G;F;G;F;C;Am7;F;G;C;Am;F;G;C;Am7;F;G;C;Am7;F;G;F;G;F;G;F;G;F;C;F;G;F;G;Am;F;G;F;G;C;Am7;F;G;C;Am7;F;G;C;Am7;F;G;C;Am7;F;G;C;Am7;F;G;C;Am7;F;G;C;Am7;F;G;F;G;F;G;Fmaj9;G;F;G;F;G;F;G;Fmaj9;G;C;F;G;F;G;Am;F;G;F;G;C;F;G;F;G;Em;F;G;C;F;G;F;G;Am;F;G;F;G;C;F;G;F;G;Am;F;G;F;G;C;F;G;F;G;Am;F;G;F;G;C;F;G;F;G;Am;F;G;F;G;C;F;G;F;G;Am;F;G;F;G
C;C;Am;G;G7;G6;C;Am;G;F;C;G;F;G;C;C;Am;G;G7;G6;C;Am;G;F;C;G;F;G;C;Am;Em;Am;G;C;C;Am;G;G7;G6;C;Am;G;F;C;G;C;C;C;Am;G7;G7;C;C;Am7;G7;F;C;G7;F;C;C;Am;G;G7;G6;C;Am;G;F;C;G;F;C;Am;Em;Am;G;C;C;Am;G;G7;G6;C;Am;G;F;C;G;F;G;C;Am;Em;Am;G;Am;Em;Am;G;Am;Em;Am;G;Am;Em;Am;G;Am;Em;Am;G;Am;Em;Am;G;Am;Em;Am;G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;G;Am;Fmaj7;C;Bdim;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;Fmaj7;C;Em;Am;Fm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
