Chords;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;Am7;C;B7;Em;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Em;C;Em;Em;C;Em;Em;C;Em;Em;C;Em;Em;C;Em;Em;C;Em;Em;C;Em;Em;C;D;D;C;Em;C;G;D;Em;D;D;G;D;Em;C;G;D;Em;C;D;G;D;Em;C;Em;Em;C;Em;Em;C;Em;Em;C;D;D;C;Em;C;G;D;Em;C;D;G;D;Em;C;G;D;Em;C;D;G;D;D;C;D;D;C;D;Em;C;G;D;Em;C;D;G;D;Em;C;G;D;Em;C;D;G;D;Em;C;G;D;Em;C;D;G;Em;C;G;D;Em;C;D;G;D;Em;;;;;;;;;;;;;;;;;;;;;;;;;
G;C;G;C;G;C;G;C;Em;C;G;C;G;C;G;C;G;C;Em;C;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G;G;C;G;C;G;C;G;C;G;C;G;C;Em;C;G;C;G;C;G;C;G;C;Em;C;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G;G;C;G;C;G;C;G;C;G;C;G;C;G;C;G;C;Em;C;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G;Em;D;G
