Chords;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E;E;A;E;C#m;B;A;B;C#m;B;A;B;C#m;B;A;B;C#m;B;E;A;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E;F#;A;E;E;F#;A;E;G#m;G#m;A;B;E;B;C#m;A;E;E;F#;A;E;F#;A;E;G#m;C#m;F#;B;C#m;A;E;A;C#m;A;F#m;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dm;C;Am;Dm;Dm;C;Am;Dm;Gm;Dm;Gm;Dm;Gm;Dm;C;Am;Dm;F;C;F;Am;Dm;Dm;F;C;F;Am;Gm;Dm;C;Am;Dm;Dm;C;Am;Dm;Dm;C;Am;Dm;Dm;C;Am;Dm;Gm;Dm;Gm;Dm;Gm;Dm;C;Am;Dm;F;C;F;Am;Dm;Dm;F;C;F;Am;Gm;Dm;Am;Gm;Dm;Dm;Am;Gm;Dm;Gm;Dm;Gm;Dm;Gm;Dm;C;Am;Dm;Dm;Dm
