Chords;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C#m;A;B;C#m;A;B;C#m;A;B;C#m;A;B;C#m;A;B;C#m;A;B;C#m;A;B;C#m;A;B;C#m;F#m/A;C#m;A;B;C#m;F#m/A;C#m;A;B;C#m;F#m/A;C#m;A;A/B;C#m;F#m/A;C#m;A;B;C#m;F#m/A;C#m;A;B;C#m;A;B;C#m;A;B;C#m;F#m/A;C#m;A;B;C#m;F#m/A;C#m;A;B;C#m;F#m/A;C#m;A;A/B;C#m;F#m/A;C#m;A;B;A;B;A;B;A;B;A;B;C#m;C#sus;C#m;A;C#m;C#sus;C#m;A;B;C#m;B;C#m;A;B;C#m;F#m/A;C#m;A;A/B;C#m;F#m/A;C#m;A;A/B;C#m;F#m/A;C#m;A;B;C#m;F#m/A;C#m;A;A/B;C#m;F#m/A;C#m;A;B;C#m;F#m/A;C#m;A;A/B;C#m;F#m/A;C#m;A;B;C#m;F#m/A;C#m;A;A/B;C#m;F#m/A;C#m;A;B;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em;C;G;D;Em
A#7;D#;G#7;A#7;D#;G#7;Gm7;Fm7;G7;Cm7;Gm7;Fm7;Cm7;Gm7;Fm7;Cm7;Gm7;Fm7;Cm7;Gm7;Fm7;A#7;D#;G#7;A#7;D#;G#7;Gm7;Fm7;G7;Cm7;G#7;Fm7;G7;Cm7;G#7;Fm7;G7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
