Chords;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Em;Fm;Em;Fm;Em;Fm;Em;Am;Fm;Em;Am;Em;G;D;A;Em;G;D;A;Em;G;D;A;Em;G;D;Am;Bbm;Fm;Em;C;Em;G;D;A;Em;G;D;A;Em;G;D;A;Em;G;D;Am;Bbm;Fm;Em;;;;;;;;
E5;G5;B5;E5;G;Bm;Em;C;G;Bm;Em;C;G;Bm;Em;C;G;Bm;Em;C;G;E5;G5;B5;E5;G;Bm;Em;C;G;Bm;Em;C;G;Bm;Em;C;G;Bm;Em;C;G;G5;G;Bm;Em;C;G;Em;C;G;Bm;Em;C;G;Bm;Em;C
C#;G#;E;B;F#;C#;C#;G#;E;B;F#;C#;C#;G#;E;B;F#;C#;C#;G#;E;B;F#;C#;C#;G#;E;B;F#;C#;C#;G#;E;B;F#;C#;C#;G#;E;B;F#;C#;C#;G#;E;B;F#;C#;;;;;;;;;;
